algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Balde,40000,3,2,81573,161581,0.002503
Radixsort C.,40000,3,2,0,720000,0.002007
Radixsort B.,40000,3,2,0,720000,0.009470
Bolha,40000,3,3,799978569,1198274118,1.679447
Coquetel,40000,3,3,600069990,1198274118,1.342617
Selecao,40000,3,3,799980000,119970,0.398634
Insercao,40000,3,3,399464696,399504704,0.132975
Shellsort,40000,3,3,913034,1378164,0.002741
Mergesort,40000,3,3,561718,1197977,0.002554
Heapsort,40000,3,3,1073408,1730109,0.002777
Quicksort,40000,3,3,868599,434621,0.002072
Introsort,40000,3,3,754587,324581,0.001939
Contagem,40000,3,3,39999,80017,0.000731
Balde,40000,3,3,81608,161626,0.002509
Radixsort C.,40000,3,3,0,720000,0.001953
Radixsort B.,40000,3,3,0,720000,0.009620
Bolha,50000,1,1,49999,0,0.000014
Coquetel,50000,1,1,49999,0,0.000014
Selecao,50000,1,1,1249975000,0,0.632536
Insercao,50000,1,1,49999,99998,0.000029
Shellsort,50000,1,1,569427,1138854,0.000522
Mergesort,50000,1,1,382512,1166976,0.000603
Heapsort,50000,1,1,1446610,2319912,0.002229
Quicksort,50000,1,1,658189,120473,0.000396
Introsort,50000,1,1,658189,120473,0.000356
Contagem,50000,1,1,49999,149999,0.000128
Balde,50000,1,1,99999,249999,0.001889
Radixsort C.,50000,1,1,0,900000,0.002546
Radixsort B.,50000,1,1,0,900000,0.010155
Bolha,50000,1,2,49999,0,0.000015
Coquetel,50000,1,2,49999,0,0.000015
Selecao,50000,1,2,1249975000,0,0.643054
Insercao,50000,1,2,49999,99998,0.000028
Shellsort,50000,1,2,569427,1138854,0.000510
Mergesort,50000,1,2,382512,1166976,0.000596
Heapsort,50000,1,2,1446610,2319912,0.002186
Quicksort,50000,1,2,658189,120473,0.000386
Introsort,50000,1,2,658189,120473,0.000348
Contagem,50000,1,2,49999,149999,0.000128
Balde,50000,1,2,99999,249999,0.001797
